21B001;oculus quest
22B002;oculus quest 2
22B003;oculus quest 2
22B004;oculus quest 2
22B005;oculus quest 2
21A007;Lenovo ThinkPad L450
21A008;Lenovo ThinkPad L450
21A009;Lenovo ThinkPad L450
21A010;Lenovo ThinkPad L450
21A011;Lenovo ThinkPad T450
21A012;Lenovo ThinkPad T420
21A013;Lenovo ThinkPad T420
21A014;Lenovo ThinkPad T420
21A015;Lenovo ThinkPad T420
21A016;Lenovo ThinkPad T430
21A017;Lenovo ThinkPad T430
21A018;Lenovo ThinkPad T430
21A019;Lenovo ThinkPad X240
21A020;Lenovo ThinkPad X240
21A021;Lenovo ThinkPad X240
21A022;Lenovo ThinkPad X240
21A023;Lenovo ThinkPad X240
21A024;Lenovo ThinkPad X240
21A025;Lenovo ThinkPad X240
21A026;Lenovo ThinkPad X260
21A027;Lenovo ThinkPad X260
21A028;Lenovo ThinkPad X260
21A029;Lenovo ThinkPad X260
21A030;Lenovo ThinkPad X260
22A031;Lenovo ThinkPad E14
22A032;Lenovo ThinkPad E14
22A033;Lenovo ThinkPad E14
22A034;Lenovo ThinkPad E14
22A035;Lenovo ThinkPad E14
22A036;Lenovo ThinkPad E14
22A037;Lenovo ThinkBook 16p G2
22A038;Lenovo Tab M10 FHD Plus
22A039;Lenovo Tab M10 FHD Plus
22A040;Lenovo Tab M10 FHD Plus
22A041;Lenovo Tab M10 FHD Plus
22A042;Lenovo Tab M10 FHD Plus
22A043;Lenovo Tab M10 FHD Plus + SD128
22A044;Lenovo Tab M10 FHD Plus + SD128
22A045;Lenovo Tab M10 FHD Plus + SD128
22A046;Lenovo Tab M10 FHD Plus + SD128
22A047;Lenovo Tab M10 FHD Plus + SD128
22A048;Lenovo Tab M10 FHD Plus + SD128
22A049;Lenovo Tab M10 FHD Plus + SD128
22A050;Lenovo Tab M10 FHD Plus + SD128
22A051;Lenovo Tab M10 FHD Plus + SD128
22A052;Lenovo Tab M10 FHD Plus + SD128
22A053;Lenovo Tab M10 FHD Plus + SD128
22B053;Insta 360 ONE X2
22B054;Insta 360 ONE X2
22B055;Insta 360 ONE X2
22B056;Insta 360 ONE X2
22C057;Horizon FCJJ-20 Hydrocar
22C058;Horizon FCJJ-20 Hydrocar
22C059;Horizon FCJJ-20 Hydrocar
22C060;Horizon FCJJ-20 Hydrocar
22C061;Solar Hydrogen Education Kit
22C062;Solar Hydrogen Education Kit
22C063;Solar Hydrogen Education Kit
22C064;Solar Hydrogen Education Kit
22C065;Horizon RESK-01 Vertical Wind Turbine Science Kit
22C066;Horizon RESK-01 Vertical Wind Turbine Science Kit
22C067;Horizon RESK-01 Vertical Wind Turbine Science Kit
22C068;Horizon RESK-01 Vertical Wind Turbine Science Kit
22C069;Horizon Energy Monitor
22B070;TIMI creation termokamera
22B071;TIMI creation termokamera
22B072;TIMI creation termokamera
22B073;TIMI creation termokamera
21C074;STEM Výukový Robot, Micro:Maqueen Plus, Micro:bit Deska + HUSKYLENS - Senzor AI Strojového Vidění
21C075;STEM Výukový Robot, Micro:Maqueen Plus, Micro:bit Deska + HUSKYLENS - Senzor AI Strojového Vidění
21C076;Nvidia Jetson Nano - AI car set
21C077;Nvidia Jetson Nano 2GB
20A077;Lenovo Tab M10 FHD Plus + SD128
20A078;Lenovo Tab M10 FHD Plus + SD128
20A079;Lenovo Tab M10 FHD Plus + SD128
20A080;Lenovo Tab M10 FHD Plus + SD128
20A081;Lenovo ThinkPad T430
20A082;Lenovo Tab M10
20A083;Lenovo Tab M10
20A084;Lenovo Tab M10
20A085;Lenovo Tab M10
20A086;Lenovo Tab M10
20A087;Lenovo Tab M10
21A088;Lenovo ThinkBook 15,6
22A089;iPad Air
21A090;iPhone 11
20A091;Lenovo IdeaPad
20A092;Lenovo IdeaPad
20A093;Lenovo IdeaPad - desktop
20A094;mBot v2
20A095;mBot v2
20A096;mBot v2
20A097;mBot v2
20A098;mBot v2
20A099;mBot v2
20A100;mBot v2
20A101;mBot v2
20A102;mBot v2
20A103;mBot v2
21C104;Elecfreaks Smart Home Kit: sada micro:bit
21C105;Elecfreaks Smart Home Kit: sada micro:bit
21C106;Elecfreaks micro:bit - IoT kit: sada micro:bit
21C107;Elecfreaks micro:bit - IoT kit: sada micro:bit
21C108;Raspberry PI - V4 - 4G
21C109;Raspberry PI - V4 - 4G
21C110;Raspberry PI - V4 - 4G
21C111;Raspberry PI - V4 - 4G
21C112;Google Voice kit V2
21C113;Google Voice kit V2
21C114;Google Voice kit V2
21C115;Google Voice kit V2
22C116;STEM Výukový Robot, Micro:Maqueen Plus, Micro:bit Deska + HUSKYLENS - Senzor AI Strojového Vidění
22C117;STEM Výukový Robot, Micro:Maqueen Plus, Micro:bit Deska + HUSKYLENS - Senzor AI Strojového Vidění
22C118;STEM Výukový Robot, Micro:Maqueen Plus, Micro:bit Deska + HUSKYLENS - Senzor AI Strojového Vidění
22C119;STEM Výukový Robot, Micro:Maqueen Plus, Micro:bit Deska + HUSKYLENS - Senzor AI Strojového Vidění
20A120;Lenovo Tab M10 Gen1
20A121;Lenovo Tab M10 Gen1
20A122;Lenovo Tab M10 Gen1
20A123;Lenovo Tab M10 Gen1
20A124;Lenovo Tab M10 Gen1
SITMP125010;Apple Ipad 7th Gen
SITMP125011;Apple Ipad 7th Gen
SITMP117240;Apple Ipad
SITMP117234;Apple Ipad
SITMP117233;Apple Ipad
23A125;Lenovo Tab M10 Plus Gen3
23A126;Lenovo Tab M10 Plus Gen3
23A127;Lenovo Tab M10 Plus Gen3
23A128;Lenovo Tab M10 Plus Gen3
23A129;Lenovo Tab M10 Plus Gen3
23B130;Meta Quest 2
23B131;Meta Quest 2
23B132;Meta Quest 2
23B133;Meta Quest 2
23B134;Meta Quest 2
23A135;Lenovo Legion 5 Pro
23B136;Sony α ZV-E10
23B137;Viltrox VL-500T
23B138;weeylite ninja 200
23B139;weeylite VP-45
